タイムスタンプ,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正答,"参考文献(問題の確認に使いますが任意です)
※裏取りにwikipediaやニコニコ大百科といった誰でも編集できるサイトは危険",参考資料,"あとがき、解説
※正答が出されたのちに表示されます"
4/14/2026 21:04:50,「ジプシーの歌」「闘牛士の歌」「ハバネラ」といったアリアが歌われる、ビゼー作曲のオペラは何でしょう？,『愛の妙薬』,『カルメン』,『レ・ミゼラブル』,『トゥーランドット』,選択肢 2,http://www.mikawa-opera.jp/carmen/story.html,,ぜひ聞いてみましょう。多分聞いたことある曲ですよ。
4/14/2026 21:09:56,「シャドーロールの怪物」の異名で親しまれた、 平成最初のクラシック三冠馬の名は何でしょう？,オルフェーブル,シンボリルドルフ,オグリキャップ,ナリタブライアン,選択肢 4,https://www.jra.go.jp/gallery/3minmeiba/horse17/index.html,,長田生ってどうして皆「競馬・麻雀・政治」に対して造詣が深いんですかね...。私はお馬さんはあんまり詳しくないですが、こんな問題があっても楽しいですよね。
4/14/2026 21:21:49,長田高校で活動している「長田高校クイズ研究会(通称NQL)」は皆さんご存知ですね。しかし長田高校に「クイズ部」はありません。では、NQLは名義上はどんな部活でしょう？,数学部,科学部,物理部,天文部,選択肢 3,,,NQLの歴史自体は浅いらしいですが、その歴史を知る人間も消えつつあります。聞いた話によると、もとは有志団体だったのを物理部が受け入れたらしいです。それまで物理部は星を見ていたようで、数十年前の星空観察の記録が残っていたり。そんなNQLは今日の文化祭でも早押しクイズ体験を行っています。ぜひ来てね。
4/14/2026 21:40:03,ベートーベンの「歓喜の歌」に乗せて歌われる「抗えない 三大欲求 神のまにまに」というサビが印象的な、NTRをテーマにした雨良のボカロ曲は何でしょう？,『モニタリング』,『いますぐ輪廻』,『あいのうた』,『バゥムクゥヘン・エンドロゥル』,選択肢 4,https://www.youtube.com/watch?v=Dz5rALpx06M,,「バームクーヘン・エンドロール」ってのは「仲の良い2人組の片割れが、物語の中で他の相手と結ばれウェディングケーキを食べ、残された方が一人で引き出物のバウムクーヘンを食べることになる結末」らしい。え、鬱。やっぱ純愛こそ正義なんですよ。
4/15/2026 18:58:40,持ち込まれたものは騙されて買った偽物であった、『竹取物語』で阿部右大臣が要求された難題は何でしょう？,蓬莱の玉の枝,火鼠の皮衣,燕の子安貝,仏の石の鉢,選択肢 2,https://www.kyoiku-shuppan.co.jp/textbook/chuu/kokugo/files/ck_l17.pdf,,車持皇子に要求された蓬莱の玉の枝はとーっても有名なので、あえてズラしてみました。竹取物語が嫌いな日本人はいないと思っていまして、創作でもこれをベースとした作品が結構ありますね。超かぐや姫とか東方永夜抄とか。竹取物語も教科書の知識でなく、教養として知っておきたいですね。
4/15/2026 19:09:21,ヘイムダルの吹くギャラルホルンによってこれの訪れが知らされる、北欧神話における「終末の日」は何でしょう？,ワルキューレ,ドゥームズデイ,アルマゲドン,ラグナロク,選択肢 4,https://kakuyomu.jp/works/1177354054889417588/episodes/1177354054891093834,,このラグナロク、結構終末で北欧神話の主神オーディンも死にます。
4/18/2026 22:53:00,人文・数理探究類型は別名なんと自称しているか,はちくみんず,８組の民,探究者,実質某総〇理学,選択肢 1,https://www.hyogo-c.ed.jp/~nagata-hs/pages/04_zinbun-suri/about/,,私自身もいつからこのように呼び始めたのかは知りません
4/19/2026 1:22:04,長田高校の最寄り駅である高速長田駅、地下鉄長田駅に、乗り換え無しで行くことができる駅として誤っているものを答えなさい。,西神中央駅,明石駅,王子公園駅,谷上駅,選択肢 3,,,"西神中央駅は神戸市営地下鉄、明石駅は山陽電鉄で繋がっています。谷上駅は地下鉄と北神線をまたぎますが、乗りっぱなしで到着するため当てはまります。
王子公園駅は、どの路線でも三宮で神戸線に乗り換える必要があるため誤りです。"
4/19/2026 7:07:27,長田高校の伝統(？)である周回走は女子が5周であるが、男子は何周か？,5,6,7,8,選択肢 2,実体験,,男子は女子より1周多い6周を走っている
4/19/2026 8:11:16,体育で行われる「ロング走」は、何周走るでしょうか？,9周（3690m）,10周（4100m）,11周（4510m）,12周（4920m）,選択肢 3,特になし,,ロング走は2、3学期に1回くらいずつ行われます。周回走とは違って、気分の上がる曲がグラウンドで流されるので、周回走よりロングの方が好きな人のほうが多いかもしれません。男女で周数は同じなので、最後まで残ると、走り終わった沢山の人に応援されます…！(⁠ꏿ⁠﹏⁠ꏿ⁠;⁠)
4/19/2026 8:15:21,アニメ『NEEDY GIRL OVERDOSE』でしばしば取り入れられている、消費社会やデジタル文化を風刺するコア概念は何でしょう？,フルティガーエアロ,ドリームコア,ヴェイパーウェイヴ,リミナルスペース,選択肢 3,,,まず何の話してるか分かりますか？コアっていいですよ。あなたに刺さる概念がきっとある。選択肢にある「フルティガーエアロ」「ヴェイパーウェイヴ」「ドリームコア」「リミナルスペース」は特に有名な奴らなので、調べてみたらなんか知ってるということもあるかなと。あ、あとニディガのアニメ面白いんで見ましょう。
4/19/2026 10:17:15,神撫会館が国の登録有形文化財に登録されたのは何年？,1994年,2006年,2010年,2020年,選択肢 3,https://kunishitei.bunka.go.jp/bsys/maindetails/101/00008312,,2010年9月10日に登録されました
4/19/2026 12:42:31,長田高校の先生のお名前で実在しないのはどれ？,銀河,力,宙,星雲,選択肢 4,,,皆さんいい先生ばかりです。授業も面白いです。
4/19/2026 12:46:44,長田高校ではとても早い授業が行われているがそれを通称何と呼ばれている？？、,特急長田,高速長田,早しゅぎ長田,早早長田,選択肢 2,,,長田高校の最寄駅の一つである、神戸高速鉄道の「高速長田駅」が存在するのもあって、そう呼ばれているのです！！本当に授業スピードが早すぎる、、🥹（イガラッティー）
4/19/2026 12:50:52,長田高校の前身である「兵庫県立第三神戸中学校」が創立されたのは、西暦何年のことでしょうか？？,1918年,1919年,1920年,1921年,選択肢 3,,,長田高校の前身である「兵庫県立第三神戸中学校」が創立されたのは1920年で、今年で創立106周年を迎えます！！（イガラッティー）
4/19/2026 12:55:24,長田高校の校歌において、一番の冒頭で歌われる山、およびその土地の美称は何でしょうか。,駒ヶ林（こまがばやし）,摩耶（まや）,神撫（かんなで）,雄鷹（おたか）,選択肢 3,,,校歌の冒頭「神撫の山の松風に」と歌われる通り、高取山の古称や学校周辺の地を指す言葉として深く根付いています。
4/19/2026 12:57:55,長田高校は、戦後の学制改革において「兵庫県立第三神戸中学校」から現在の校名になりましたが、その際にある女学校と統合されました。その学校名は何でしょうか。,兵庫県立第四神戸高等女学校,兵庫県立第一神戸高等女学校, 長田女子商業学校,神戸市立第一女学校,選択肢 1,,,1948年の学制改革により、第三神戸中学校と第四神戸高等女学校が統合され、現在の長田高校が誕生したぜ！（イガラッティー）
4/19/2026 13:00:18,長田高校とは,夢と希望と青春,🫨,,,選択肢 1,,,長田高校での生活、それはまさに夢と希望と青春である。（イガラッティー）
4/19/2026 14:19:02,ゲーム『学園アイドルマスター』において、『自己肯定感爆上げ↑↑しゅきしゅきソング』や『世界一可愛い私』を歌うアイドルは誰でしょう？,花海咲季,姫崎莉波,倉本千奈,藤田ことね,選択肢 4,,,学マスはいいぞおじさん「学マスはいいぞ」
4/19/2026 17:10:34,メガネの中でも、レンズが丸みのある逆さ台形のような形になっているもののことを特に何と言うでしょう？,ボストン,メルボルン,ウェリントン,マンハッタン,選択肢 3,https://www.aigan.co.jp/aigan_style/glasses/223,,ウェリントンメガネ、いいですよね。私はこれを使っています(特定材料)。スクエアとは違ってもうちょっと優しい印象が出るといいますか。
4/19/2026 17:15:59,「ナスを食べよう♪」「FANのシンプル暴力60分」といったゴミ企画を考案し却下されている、奇抜なゴーグルが特徴の「バキ童ch」のスタッフは誰でしょう？,山田ボールペン,もののけ,金子,馬肉かなめ,選択肢 4,https://www.youtube.com/watch?v=rVoVcMuKOmQ,,ちなみに「FANのシンプル暴力60分」はそれに似たようなことが行われたそうな。
4/19/2026 17:22:39,YouTube版のMVは作者の誤操作で一度削除されてしまった、「ドミニカの大砲」と称される野球選手をテーマにした山本のボカロ曲は何でしょう？,デロスサントス,サンタナ,フェルナンデス,ロハスjr.,選択肢 1,https://www.youtube.com/watch?v=U4bJY_uJvAI,,歌詞に登場する「掘りごたつ」「イタリアン」「海の見える店」の三条件を満たす店は実在します。シーサイドカプリみたいな店だったはず。
4/19/2026 17:28:31,バンダイが販売する一般的な「ガンプラ」において、以下のうち最も縮尺が大きい(実寸大に近い)のはどれ？,EG(エントリーグレード),MG(マスターグレード),RG(リアルグレード),HG(ハイグレード),選択肢 2,https://bandai-hobby.net/site/whatsgunpla.html,,マスターグレードは基本的に1/100スケール、ほかは全て1/144ですね。ちなみにPG(パーフェクトグレード)ってのは1/60でデカい。ただし高い。最新のPGはνガンダムなんですが、6万くらいする。誰か買って。
4/19/2026 17:37:16,その難関大学群は「SKY」と言われる国はどこでしょう？,インド,オーストラリア,韓国,オランダ,選択肢 3,https://karaichi.com/korea-university/,,「ソウル大学」「高麗大学」「延世(ヨンセ)大学」の頭文字を取って「SKY」です。韓国人の人生は「ソウル大学に行く」か「チキン屋になる」か「自殺するか」しかないってジョークが有名ですね。最近は時代に合わせてチキン屋じゃなくてVtuberになるらしいっすよ。
4/19/2026 17:57:44,長田高校は今年で創立何年？,106,107,108,109,選択肢 1,,,2020年に100周年を迎えた
4/19/2026 20:56:30,長田高校で「ナビしない」と言うと、何になる？,いやするでしょ,旅したい,梨見ない,風にーなりーたいー,選択肢 2,自作なので無いです,,"「な」が「た」高校だから
なびしない→たびしたい"
4/19/2026 22:01:07,長田高校から1番遠い高校は？？,兵庫高校,彩星工科,夢野台,御影,選択肢 4,,,御影高校以外は、少し歩けばすぐ着きます！（イガラッティー）
4/19/2026 22:05:51,入学式での隣の人との席の距離はどれくらいでしょうか。,ゼロ距離,ミリ距離,センチ距離,メートル距離,選択肢 1,自分の感覚,,初日から隣の人との距離は近くなるから、不安も恐怖も吹っ飛びます😁
4/19/2026 22:16:50,初代校長、近藤英也の読みを答えよ,こんとうひてや,"こんどうひて""や",こんどうえいや！,こんどうひでや,選択肢 4,銅像,,選択肢2を選んだ人は、注意力が足りません。
4/19/2026 22:24:43,次の中で本当に起こった出来事はなに？,先生が昼休みに平然と授業を開始する,京都遠足に先生が着物にお歯黒をしてくる,グラウンドから火が上がる,講演会にアメリカのラッパーが来る,選択肢 1,ちゃんへん（ラッパー）,,"長田にはたくさん非常勤講師がいます。
彼らはユニークな授業をしてくれますが、皆お年を召されてるので、多少の失敗は見逃してあげましょう。
ちなみに、日本人のラッパーは来ました。"
4/19/2026 23:18:23,長田高校公式グッズのうち、正しい物はどれか。,リカちゃん人形,どらえもん,忍者ハットリくん,ゲゲゲの鬼太郎,選択肢 1,神撫会ホームページより,,"創立100周年記念として、神撫会によって製作されたよ。筆者は姉に譲り受けて今でも時々学校に持ってきてるよ。公式グッズだからベテランの先生に聞いてみよう！！
作問:長田に恋して12年目"
4/19/2026 23:26:57,長田高校の旧名は次のうちどれ？,兵庫県立第三神戸中学校,神撫ヶ丘高校,兵庫県高等教育第四支部,池田谷中学校,選択肢 1,長田高校のホームページより,,"ちなみに選択肢2の神撫ヶ丘高校は改名する際に候補に挙がってたと思います。こっちのがかっこいいやんけ。詳しくは開門章参照です。
作問:5歳の頃に長田に惚れました。"
4/19/2026 23:31:13,昔の文化祭でほんとにあったのは次のうちどっち？,各部活の出し物,一般祭が土日の2日間,,,選択肢 1,ごめんなかった。僕の実体験です。多分細田先生とかに聞いたら教えてくれます。,,"昔は剣道部とかが焼きそば焼いてたはずです。
日程が総体とかと被っちゃう部活多くて寂しいよね。
作問:文化祭に惚れて受験した人。"
4/19/2026 23:33:44,長田生のよくないところは？,スカしすぎるところ,逆張っちゃうところ,ガリ勉すぎるところ,そんなとこも含めて愛おしい♥,選択肢 4,自明,,"高校生だからね。多感な時期だし、そういうのも沢山あります。でもそういうとこが可愛いんだなぁ。
作問:長田の信者"
4/20/2026 8:22:21,長田高校にある部活・特別委員会の数を答えよ(生徒会・文スタ・体スタ除く),39,50,34,47,選択肢 1,部紹介冊子より,,運動部21   文化部15     委員会3
4/20/2026 11:31:06,周回走が始まったのは約何年前？,10年前,20年前,50年前,100年前（創立時）,選択肢 3,いつかの校長先生のありがたいお話,,学生運動の影響を浴びて授業を行うのが難しくなった時代に、せめて走らせてくれ、と生徒が頼んだことで始まった（らしい）。この話を聞き、創立当初からの伝統じゃないのかよ！と若干やる気をなくす者が発生。
4/20/2026 11:33:52,コンピューター室のエアコンについて正しいものを選べ,エアコンはない,エアコンはあるが、職員室で管理されている,コンピューター室で自由にエアコンを調整できる,,選択肢 3,,,コンピューター室のエアコンは情報の正井先生が牛耳っています。夏は涼しくて冬は暖かいです。
4/20/2026 12:50:58,ンバヂの楽曲『好きな惣菜発表ドラゴン』で唯一2回登場する惣菜は何でしょう？,からあげ,ハンバーグ,とんかつ,肉を甘辛く炒めたやつ,選択肢 3,https://utaten.com/lyric/mi24030823/,,正式名称が分からない惣菜もすきすきだいすき。
4/20/2026 13:03:46,そのへっぽこぶりから、ファンからは｢小林｣と謎の名字呼びで愛されている、『名探偵プリキュア！』に登場する桃色のプリキュアは誰でしょう？,キュアアンサー,キュアミスティック,キュアエクレール,キュアアルカナ･シャドウ,選択肢 2,https://www.toei-anim.co.jp/tv/precure/character/,,キュアミスティック、本名は｢小林みくる｣。今現在出てるプリキュアのなかでは一番表情豊かで反応も可愛くて好きです。おばけを怖がる小林いいぞ。
4/20/2026 14:05:01,長田高校で実際に食べられる食堂のメニューはなんでしょう？,牛丼,ハンバーグ,そば,唐揚げ丼,選択肢 4,,,唐揚げ丼は日替わりメニューです。おいしいのでぜひ食べてみてほしいです！オススメです！
4/20/2026 16:04:19,長田にいるライオンは何色でしょう？,赤,オレンジ,うすめのオレンジ,金,選択肢 4,,,知らなかった人は是非探してみてね
4/20/2026 20:13:01,長田高校の開校記念日はいつでしょう？,1920年,1921年,1922年,,選択肢 2,生徒手帳2ページ,,毎年、創立記念日（4/16）には校長先生による全校生徒への講話があります。
4/20/2026 21:24:49,長田高校の通称「はちくみんず」では、ある暗黙の了解があります。それは何でしょう？,テストで赤点を2回続けて取ってはいけない,8組内で恋愛をしてはいけない,好きな人を隠さず、公表しなければならない,授業で当てられた問題がわからない場合は、ボケて先生を笑わせなければならない,選択肢 2,,,"3年間同じメンツで過ごすはちくみんず。
仲が深まりやすいクラスなので、恋が生まれる可能性も高まります。
しかし、しばし待たれよ。
万一破局を迎えた場合、または振られた場合、クラスの空気がどうなるかは想像に難くないはずだ。
もし8組内で恋愛をするのならば、失敗しないかつ卒業まで続くという、絶対的自信と覚悟を持つことが必要だ。"
4/21/2026 7:18:59,長田高校に存在していないものはどれでしょう？,足湯,聖地,魔法陣,青空テラス,選択肢 4,,,"長田高校を知らない人は結構難しい問題だったと思います。正解は4の青空テラスです。
1番の「足湯」は、地面より数段下がった休憩所のような場所の愛称です。事務室横にあって、色んな人が休み時間に使っています。
2番の「聖地」は講堂の入口付近にある天井から光が差し込む謎の広場のことです。夏は結構暑くなります。
3番の魔法陣は、長田高校にいる人なら結構知っている、正門入って右手側にある塔の上の方の階に描かれたものです。何年も前に卒業した先輩が何かを残したいと思って書いたもののようです。
ということで、長田高校に存在しないのは4番、青空テラスでした！
3番の魔法陣以外は文化祭でも入れる場所になっています。ぜひ見に行ってみてください！

byハスキーに食べられた餃子"
4/21/2026 18:56:29,長田高校の食堂に売っているチュロスの味の種類はいくつあるでしょう？？,1種類,２種類,3種類,4種類,選択肢 3,食堂のポスター,,シュガー、きなこ、チョコの3種類です！(たぶん)
4/21/2026 20:01:41,長田高校の大きい方の部室棟にトイレはあるのか！？,あるわけないから漏らす歯科内科,全ての階にある,一階にある,3階の女子階にだけある,選択肢 3,俺,,普通に部室等のトイレのドアも普通に部室のドアと同じでトイレのマークがついてるだけで、他の部活の部室なども別にいかないので二階三階の人々は意外と気付きません。
4/21/2026 21:14:59,長田高校があるのは神戸市長田区池田谷町。池田と言えば「ムヒ」の会社、池田模範堂。その池田模範堂の1985〜6年の、甲子園がテーマのcmで、校歌を歌いながら泣いているのは右から何人目でしょう？,1人目,2人目,3人目,4人目,選択肢 3,,,〽ムヒが丘に　かゆみを止めて　池田　池田模範堂
4/21/2026 21:49:44,長田高校の象徴、学塔の最上階の床には、何が描かれているでしょう？,長田高校の校章,賢くなる薬の作り方,謎の魔法陣,食堂の裏メニューを注文する時に唱える呪文,選択肢 3,特にないです。放送委員会の仮入部の時に見せていただいたビデオで知りました。,,"今は柵が設置されていて、見に行くことはできなくなっています。かなり本格的な魔法陣が描かれているとかいないとか……

※賢くなる薬は存在しませんので自力で賢くなってください
※食堂の裏メニューはありませんので注意してください"
4/22/2026 7:51:14,現在の長田高校の校長、藤原生也先生は第何代の校長先生ですか。,第２５代,第２６代,第２７代,第２８代,選択肢 3,,,2024年から、長田高校の校長先生でおられます。
4/22/2026 11:06:30,長田高校で期末テストが終わると必ずあることは？,大型休みで午前中下校,授業がさらに進む,先生の作った模試,周回走15周,選択肢 1,俺,,猿でもわかる
4/22/2026 11:11:05,長田高校の標高を答えなさい,33m,20m,10m,3776m,選択肢 1,俺,,2は兵庫高校、3は長田駅、4は富士山です
4/22/2026 23:08:10,超能力の一つ「パイロキネシス」とはずばりどんな能力でしょう？,念力,瞬間移動,透視,火,選択肢 4,,,超能力にもたくさん種類があるんだね。超能力関連で話すなら私は透視能力に用いるゼナーカードが好きです。多分調べたら知ってるのが出てきます。
4/22/2026 23:15:10,同性愛に関する創作で、BLを象徴する花は薔薇ですが、GLを象徴する花は何でしょう？,向日葵(ひまわり),百合(ゆり),菫(すみれ),桜(さくら),選択肢 2,,,百合が好きな男性のことは「姫男子」というらしい。いや別に「百合豚」でよくね？
4/22/2026 23:20:20,映画『イミテーション・ゲーム』では主人公として描かれる、第二次世界大戦中にドイツの暗号「エニグマ」を解読した数学者は誰でしょう？,ノイマン,オイラー,チューリング,ガロア,選択肢 3,https://imitationgame.gaga.ne.jp/,,「チューリングマシン」とか「チューリングテスト」とか、コンピューターに関する功績が多い人ですね。「計算機科学のノーベル賞」と言われる賞にも名を遺しているだとか。
4/22/2026 23:25:22,フランシス・ベーコンが提唱した4つのイドラのうち、権威あるものの発言を疑うことなく信じ込むことによって生じる偏見のことを何と言うでしょう？,種族のイドラ,洞窟のイドラ,市場のイドラ,劇場のイドラ,選択肢 4,https://studyhacker.net/columns/omoikomi-dasshutsu,,私は公共のこの辺の分野がとっても好きなんですね。ベンサムやミルの功利主義の話とか。いやマジで公共の倫理分野は噛んでたらいい味しますよ。で、イドラの話だ。私が一番好きなイドラは「劇場のイドラ」なんですね。名前がかっこいいし、内容もいいところを突いている。みなさんは劇場のイドラにハマってませんか？
4/22/2026 23:38:17,『三国志演義』では孔明の死後に反乱を起こすも、孔明から策を与えられた馬岱に裏切られて殺害された蜀の武将は誰でしょう？,魏延,趙雲,張飛,馬謖,選択肢 1,,,三国志演義では魏延が劉備のもとに降伏したときに、孔明は彼に「反骨の相(いずれ裏切る人相だぜコイツ！みたいなの)」があるから殺すべきだと提言していたそうな。実際裏切ったね。
4/23/2026 0:00:17, この長田高校の近くには長田神社がありますが、次のうち、長田神社の境内で食べてはならないのはどれでしょう？,鶏のから揚げ,豚の生姜焼き,サーロインステーキ,馬刺し,選択肢 1,https://nagatajinja.jp/keidai/shinkei.php,,"長田神社ではにわとりや玉子を食べることは禁忌となっています。
それは、
「遠近に鶏声聞ふる郷は　吾有縁の地なり　
　この地に吾を鎮座ば　永く宝祥をまもり　
　国民に事代なすくさぐさの幸福与へんと欲ふぞ」
という神託から鶏が鳴く長田に神様を祀ったからで、鶏はいまでも長田神社の神使とされています。
それはそうとお腹すきましたね。
ぶつりぶいん"
